sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),Charge (C),tdc_timestamp,tdc_calibration_constant,adct_timestamp,hcal_energy_timestamp
2,2033,he3,2100,750,4.291,0,0.004,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2034,he3,2100,750,4.291,0,0.028,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2035,he3,2100,750,4.291,0,0.009,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2036,he3,2100,750,4.291,0,0.021,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2037,he3,2100,750,4.291,0,0.071,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2038,he3,2100,750,4.291,0,0.081,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2039,he3,2100,750,4.291,0,0.025,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2040,he3,2100,750,4.291,0,0.082,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2042,he3,2100,750,4.291,0,0.078,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2045,he3,2100,750,4.291,0,0.104,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2046,he3,2100,750,4.291,0,0.016,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2047,he3,2100,750,4.291,0,0.085,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2053,he3,2100,750,4.291,0,0.127,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2054,he3,2100,750,4.291,0,0.113,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2062,he3,2100,750,4.291,0,0.102,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2080,he3,2100,750,4.291,0,0.028,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2081,he3,2100,750,4.291,0,0.043,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2082,he3,2100,750,4.291,0,0.032,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2083,he3,2100,750,4.291,0,0.036,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2084,he3,2100,750,4.291,0,0.101,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2085,he3,2100,750,4.291,0,0.024,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2125,he3,2100,750,4.291,0,0.07,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2126,he3,2100,750,4.291,0,0.057,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2127,he3,2100,750,4.291,0,0.066,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2128,he3,2100,750,4.291,0,0.005,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2131,he3,2100,750,4.291,0,0,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2132,he3,2100,750,4.291,0,0.07,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2133,he3,2100,750,4.291,0,0.078,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2134,he3,2100,750,4.291,0,0.089,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2136,he3,2100,750,4.291,0,0.07,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2137,he3,2100,750,4.291,0,0.1,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2138,he3,2100,750,4.291,0,0.025,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2141,he3,2100,750,4.291,0,0.03,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2143,he3,2100,750,4.291,0,0.02,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2145,he3,2100,750,4.291,0,0.071,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2146,he3,2100,750,4.291,0,0.04,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2149,he3,2100,750,4.291,0,0.0331483,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2164,he3,2100,750,4.291,0,0.18,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2165,he3,2100,750,4.291,0,0.07,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2168,he3,2100,750,4.291,0,0.228,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2169,he3,2100,750,4.291,0,0.002,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2170,he3,2100,750,4.291,0,0.193,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2171,he3,2100,750,4.291,0,0.096,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2172,he3,2100,750,4.291,0,0.161,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2173,he3,2100,750,4.291,0,0.08,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2174,he3,2100,750,4.291,0,0.118,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2175,he3,2100,750,4.291,0,0.139,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2176,he3,2100,750,4.291,0,0.044,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2199,he3,2100,750,4.291,0,0.101,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2200,he3,2100,750,4.291,0,0.145,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2201,he3,2100,750,4.291,0,0.046,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2203,he3,2100,750,4.291,0,0.133,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2204,he3,2100,750,4.291,0,0.138,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2206,he3,2100,750,4.291,0,0.115,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2208,he3,2100,750,4.291,0,0.052,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2209,he3,2100,750,4.291,0,0.124,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2210,he3,2100,750,4.291,0,0.162,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2211,he3,2100,750,4.291,0,0.001,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2212,he3,2100,750,4.291,0,0.202,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2213,he3,2100,750,4.291,0,0.156,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2214,he3,2100,750,4.291,0,0.153,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2215,he3,2100,750,4.291,0,0.65,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2216,he3,2100,750,4.291,0,0.18,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2217,he3,2100,750,4.291,0,0.171,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2218,he3,2100,750,4.291,0,0.008,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2219,he3,2100,750,4.291,0,0.21,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2220,he3,2100,750,4.291,0,0.067,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2221,he3,2100,750,4.291,0,0.144,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2222,he3,2100,750,4.291,0,0.154,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2223,he3,2100,750,4.291,0,0.12,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2224,he3,2100,750,4.291,0,0.159,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2225,he3,2100,750,4.291,0,0.09,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2226,he3,2100,750,4.291,0,0.135,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2227,he3,2100,750,4.291,0,0.013,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2228,he3,2100,750,4.291,0,0.249,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2229,he3,2100,750,4.291,0,0.232,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2230,he3,2100,750,4.291,0,0.129,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2231,he3,2100,750,4.291,0,0.136,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2232,he3,2100,750,4.291,0,0.148,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2233,he3,2100,750,4.291,0,0.138,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2234,he3,2100,750,4.291,0,0.145,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2235,he3,2100,750,4.291,0,0.063,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2236,he3,2100,750,4.291,0,0.14,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2237,he3,2100,750,4.291,0,0.181,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2238,he3,2100,750,4.291,0,0.129,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2239,he3,2100,750,4.291,0,0.153,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2240,he3,2100,750,4.291,0,0.099,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2241,he3,2100,750,4.291,0,0.138,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2242,he3,2100,750,4.291,0,0.123,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2243,he3,2100,750,4.291,0,0.037,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2244,he3,2100,750,4.291,0,0.152,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2245,he3,2100,750,4.291,0,0.095,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2246,he3,2100,750,4.291,0,0.126,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2247,he3,2100,750,4.291,0,0.016,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2248,he3,2100,750,4.291,0,0.06,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2250,he3,2100,750,4.291,0,0.103,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2251,he3,2100,750,4.291,0,0.036,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2252,he3,2100,750,4.291,0,0.156,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2253,he3,2100,750,4.291,0,0.137,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2254,he3,2100,750,4.291,0,0.13,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2255,he3,2100,750,4.291,0,0.146,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2256,he3,2100,750,4.291,0,0.154,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2257,he3,2100,750,4.291,0,0.127,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2258,he3,2100,750,4.291,0,0.154,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2259,he3,2100,750,4.291,0,0.51,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2260,he3,2100,750,4.291,0,0.054,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2275,he3,2100,750,4.291,0,0.031,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2276,he3,2100,750,4.291,0,0.076,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2302,he3,2100,750,4.291,0,0.006,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2303,he3,2100,750,4.291,0,0.152,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2304,he3,2100,750,4.291,0,0.181,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2305,he3,2100,750,4.291,0,0.108,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2306,he3,2100,750,4.291,0,0.035,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2307,he3,2100,750,4.291,0,0.09,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2309,he3,2100,750,4.291,0,0.114,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2310,he3,2100,750,4.291,0,0.031,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2313,he3,2100,750,4.291,0,0.116,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2314,he3,2100,750,4.291,0,0.113,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2315,he3,2100,750,4.291,0,0.138,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
